Date,Value
2021-02-11,-134474.88186576398
2021-02-12,-134538.9175237953
2021-02-16,-134602.98367499711
2021-02-17,-134667.08033389
2021-02-18,-134731.20751500136
2021-02-19,-134795.36523286565
2021-02-22,-134859.55350202415
2021-02-23,-134923.7723370251
2021-02-24,-134988.0217524237
2021-02-25,-135052.301762782
2021-02-26,-135116.61238266906
2021-03-01,-135180.9536266608
2021-03-02,-135245.32550934015
2021-03-03,-135309.72804529697
2021-03-04,-135374.16124912805
2021-03-05,-135438.62513543718
2021-03-08,-135503.119718835
2021-03-09,-135567.6450139392
2021-03-10,-135632.20103537443
2021-03-11,-135696.78779777224
2021-03-12,-135761.40531577115
2021-03-15,-135826.05360401675
2021-03-16,-135890.73267716155
2021-03-17,-135955.44254986494
2021-03-18,-136020.18323679347
2021-03-19,-136084.95475262054
2021-03-22,-136149.7571120265
2021-03-23,-136214.5903296989
2021-03-24,-136279.4544203321
2021-03-25,-136344.3493986275
2021-03-26,-136409.2752792935
2021-03-29,-136474.23207704557
2021-03-30,-136539.2198066061
2021-03-31,-136604.23848270444
2021-04-01,-136669.28812007717
2021-04-05,-136734.36873346765
2021-04-06,-136799.48033762645
2021-04-07,-136864.62294731106
2021-04-08,-136929.79657728598
2021-04-09,-136995.00124232276
2021-04-12,-137060.23695720005
2021-04-13,-137125.50373670348
2021-04-14,-137190.8015956257
2021-04-15,-137256.13054876646
2021-04-16,-137321.49061093255
2021-04-19,-137386.88179693779
2021-04-20,-137452.30412160297
2021-04-21,-137517.75759975615
2021-04-22,-137583.2422462322
2021-04-23,-137648.75807587325
2021-04-26,-137714.30510352846
2021-04-27,-137779.88334405393
2021-04-28,-137845.49281231302
2021-04-29,-137911.13352317605
2021-04-30,-137976.80549152038
2021-05-03,-138042.5087322306
2021-05-04,-138108.24326019836
2021-05-05,-138174.00909032227
2021-05-06,-138239.80623750814
2021-05-07,-138305.6347166689
2021-05-10,-138371.49454272442
2021-05-11,-138437.38573060188
